,First Week,Grand Mean,Name,Tony Season
0,49.0,53.01086956521739,13,0
1,24.285714285714285,26.283783783783782,9 To 5,0
2,0.0,0.0,A Chorus Line '06,0
3,3.2857142857142856,7.162790697674419,A Christmas Story,0
4,13.428571428571429,11.478632478632479,A Gentleman'S Guide To Love And Murder,0
5,65.28571428571429,37.728813559322035,A Little Night Music,1
6,16.714285714285715,15.432624113475176,A Night With Janis Joplin,0
7,40.142857142857146,44.07692307692308,A Tale Of Two Cities,0
8,21.0,22.90118577075099,After Midnight,0
9,24.142857142857142,23.131782945736433,Aladdin,1
10,52.857142857142854,51.48031496062992,Allegiance,0
11,38.714285714285715,14.616666666666667,Amazing Grace,0
12,57.142857142857146,33.98245614035088,American Idiot,1
13,63.714285714285715,47.140845070422536,American Psycho,0
14,41.714285714285715,31.373333333333335,An American In Paris,1
15,50.0,34.68181818181818,Annie '12,1
16,0.0,0.0,Anything Goes '11,0
17,82.28571428571429,59.235955056179776,Avenue Q,1
18,0.0,0.0,Baby It'S You!,0
19,14.428571428571429,15.307692307692308,Beautiful: The Carole King Musical,0
20,68.14285714285714,65.01769911504425,Big Fish,0
21,11.428571428571429,10.614035087719298,Billy Elliot: The Musical,1
22,41.42857142857143,48.85858585858586,Bloody Bloody Andrew Jackson,0
23,50.142857142857146,52.64912280701754,Bonnie And Clyde,0
24,8.285714285714286,8.591666666666667,Bright Star,0
25,22.285714285714285,13.431952662721894,Bring It On The Musical,0
26,15.714285714285714,15.679012345679013,Bullets Over Broadway,1
27,38.0,29.609467455621303,Burn The Floor,0
28,36.57142857142857,31.46268656716418,Bye Bye Birdie,0
29,67.28571428571429,42.425925925925924,Cabaret (musical),1
30,42.142857142857146,24.710227272727273,Catch Me If You Can,1
31,68.14285714285714,60.62068965517241,Cats 2016,0
32,40.857142857142854,41.67164179104478,Chaplin,0
33,90.28571428571429,85.29126213592232,Chicago,1
34,43.714285714285715,45.627450980392155,Cinderella,1
35,27.714285714285715,28.825136612021858,Come Fly Away,0
36,35.0,43.21212121212121,Cry Baby,0
37,62.714285714285715,58.26136363636363,Curtains,0
38,25.142857142857142,17.606060606060606,Dames At Sea,0
39,0.0,0.0,Disaster!,0
40,32.285714285714285,34.76744186046512,Doctor Zhivago,0
41,0.0,0.0,Dr. Seuss' How The Grinch Stole Christmas! 07,0
42,19.428571428571427,47.96491228070175,Elf,0
43,2.2857142857142856,17.403508771929825,Elf '12,0
44,31.714285714285715,23.346153846153847,Everyday Rapture,1
45,70.28571428571429,54.30434782608695,Evita,1
46,50.57142857142857,10.730337078651685,Fiddler On The Roof 2015,0
47,70.57142857142857,39.57333333333333,Finding Neverland,0
48,80.0,76.7215909090909,First Date,0
49,0.0,0.0,Follies '11,0
50,16.428571428571427,16.91780821917808,Fun Home,1
51,53.142857142857146,59.774193548387096,Ghost,1
52,65.85714285714286,74.47826086956522,Gigi,0
53,33.42857142857143,46.666666666666664,Glory Days,0
54,22.714285714285715,26.59683794466403,Godspell,0
55,0.0,0.0,Gypsy '08,0
56,89.85714285714286,93.56521739130434,Hair,1
57,72.0,46.64150943396226,Hairspray,1
58,4.142857142857143,19.912280701754387,Hamilton (musical),1
59,21.285714285714285,28.7,Hands On A Hardbody,0
60,18.714285714285715,12.493506493506494,Hedwig And The Angry Inch,1
61,21.285714285714285,23.11627906976744,Holler If Ya Hear Me,0
62,27.142857142857142,14.880597014925373,Honeymoon In Vegas,0
63,0.0,0.0,How To Succeed In Business Without Really Trying '11,0
64,55.142857142857146,31.0,If/Then,1
65,30.285714285714285,39.921052631578945,In The Heights,1
66,11.714285714285714,11.53191489361702,It Shoulda Been You,0
67,0.0,0.0,Jekyll & Hyde '13,0
68,20.142857142857142,16.49514563106796,Jersey Boys,1
69,0.0,0.0,Jesus Christ Superstar '12,0
70,12.0,13.96132596685083,Kinky Boots,1
71,0.0,0.0,La Cage Aux Folles '10,0
72,29.571428571428573,38.861111111111114,Leap Of Faith,0
73,12.714285714285714,19.571428571428573,Legally Blonde,0
74,23.714285714285715,27.894736842105264,Lysistrata Jones,0
75,0.0,0.0,Mamma Mia!,0
76,34.0,42.49629629629629,Mary Poppins,0
77,57.42857142857143,59.72222222222222,Matilda,1
78,48.142857142857146,56.48,Memphis,1
79,33.0,30.12121212121212,Million Dollar Quartet,1
80,43.0,24.444444444444443,Monty Python'S Spamalot,1
81,0.0,0.0,Motown The Musical 2016,0
82,49.42857142857143,33.53125,Newsies,1
83,16.285714285714285,17.263157894736842,Next To Normal,0
84,49.285714285714285,31.578125,Nice Work If You Can Get It,1
85,53.142857142857146,32.6025641025641,On A Clear Day You Can See Forever,0
86,10.857142857142858,12.174193548387096,On the Town (musical),0
87,49.57142857142857,45.355555555555554,On The Twentieth Century,0
88,0.0,0.0,On Your Feet!,0
89,56.714285714285715,55.93288590604027,Once,1
90,28.142857142857142,29.160377358490567,Pal Joey,0
91,54.857142857142854,48.36666666666667,Paramour,0
92,8.714285714285714,13.425925925925926,Passing Strange,0
93,20.285714285714285,19.180851063829788,Pippin,1
94,0.0,0.0,Porgy And Bess '11,0
95,62.285714285714285,35.11594202898551,Priscilla Queen Of The Desert,1
96,52.42857142857143,29.975609756097562,"Promises, Promises",0
97,0.0,0.0,Ragtime '09,0
98,0.0,0.0,Rain: A Tribute To The Beatles On Broadway,0
99,79.71428571428571,82.70731707317073,Rent,1
100,6.714285714285714,10.6,Rock Of Ages,0
101,57.714285714285715,61.19125683060109,Rocky,1
102,28.571428571428573,27.035087719298247,Scandalous,0
103,54.57142857142857,57.75,School Of Rock,0
104,0.7142857142857143,5.886524822695035,She Loves Me 2016,0
105,59.714285714285715,35.24590163934426,Shrek The Musical,0
106,3.7142857142857144,5.141732283464567,Shuffle Along,1
107,0.0,0.0,Side Show 2014,0
108,79.85714285714286,59.52,Sister Act,1
109,0.0,0.0,Something Rotten!,0
110,39.714285714285715,37.23529411764706,Soul Doctor,0
111,45.0,37.746153846153845,South Pacific,1
112,54.0,11.52760736196319,Spider-Man Turn Off The Dark,1
113,58.285714285714285,39.239583333333336,Spring Awakening,0
114,0.0,0.0,Sunday In The Park With George '08,0
115,14.285714285714286,19.933333333333334,The 25Th Annual Putnam County Spelling Bee,0
116,20.428571428571427,22.736842105263158,The Addams Family,1
117,50.857142857142854,30.348484848484848,The Book Of Mormon,1
118,24.428571428571427,26.275,The Bridges Of Madison County,0
119,0.0,0.0,The Color Purple 2015,0
120,18.142857142857142,13.0,The King And I 2015,0
121,15.142857142857142,18.56637168141593,The Last Ship,0
122,23.285714285714285,30.533980582524272,The Lion King,1
123,79.42857142857143,57.71264367816092,The Little Mermaid,1
124,0.0,0.0,The Mystery Of Edwin Drood '12,0
125,52.0,49.34615384615385,The People in the Picture,0
126,79.42857142857143,63.96116504854369,The Phantom Of The Opera,0
127,44.857142857142854,39.046875,The Scottsboro Boys,0
128,46.142857142857146,50.0,The Story Of My Life,0
129,20.0,32.02564102564103,The Visit 2015,0
130,40.142857142857146,46.10526315789474,Tuck Everlasting,0
131,23.428571428571427,22.71631205673759,Waitress,1
132,69.85714285714286,40.29896907216495,West Side Story,0
133,88.42857142857143,75.77669902912622,Wicked,1
134,40.0,29.776470588235295,Women On The Verge Of A Nervous Breakdown,0
135,54.857142857142854,57.16,Wonderland,0
136,24.142857142857142,23.760299625468164,Xanadu,1
