,Name,Weeks,Sentimentality,selfscore,,,
131,The Book Of Mormon,286,0,Esteemed,,,
132,The Bridges Of Madison County,18,0,Informational,,,
134,The Color Purple 2015,40,0,Esteemed,,,
135,The King And I 2015,68,0,Esteemed,,,
136,The Last Ship,17,0,Informational,,,
137,The Lion King,450,0,Esteemed,,,
138,The Little Mermaid,87,0,Informational,,,
139,The Mystery Of Edwin Drood '12,21,0,Esteemed,,,
140,The People in the Picture,12,0,Informational,,,
141,The Phantom Of The Opera,450,0,Esteemed,,,
142,The Scottsboro Boys,10,0,Negative,,,
143,The Story Of My Life,3,0,Negative,,,
144,The Visit 2015,12,0,Informational,,,
146,Tuck Everlasting,9,0,Informational,,,
,Waitress,21,0,Informational,,,
149,West Side Story,97,0,Informational,,,
150,Wicked,450,0,Esteemed,,,
151,Women On The Verge Of A Nervous Breakdown,13,0,Informational,,,
152,Wonderland,8,0,Informational,,,
153,Xanadu,39,0,Informational,,,
